Upgradation Of Improvise Type 61 Double Barreled 25 Mm Gun	450002	2023-07-03	\N	\tTo indigenously develop standalone remotely operated electrical control system for 01 in No 25 mm Gun	SOF & M	2021-02-12	2021-02-12	2022-12-16	8800000	2022-11-09	8800000	2023-12-31	\N	Work in progress	\N	25mm Progress is attached.			450000	t	25MMGUN
pixelseven overhauling	450018	2026-01-21	\N	salman's overhauling	salmanandco	2026-01-12	2026-01-07	2026-01-01	120000	2026-01-20	\N	2026-06-24	\N	Open	\N	\N	\N	\N	200000	t	pixel7
Functional replacement of CDS display of PNS ALAMGIR	200008	2021-10-20	157	Functional replacement of CRTs of CDS with LED displays	DSMR WE	2021-05-31	2021-10-04	2021-08-09	10000000	2021-10-04	10000000	2022-07-20	10000000	Work in progress	\N	1.   Milestone 1 has been completed and accepted.\r\n\r\n2.   One of the Radars was made available onboard in April 22 and data tapping activity has been completed.\r\n\r\n3.   Milestone 2 has been completed and submitted on 15 May.\r\n\r\n4.   Development of PoC/prototype has been completed and lab trials  by ship staff (Milestone 3) was conducted successfully on 1 Dec 22\r\n\r\n5.   Installation of 01xLED completed on 17th Mar 23. Ship was subsequently in SRA, which has been completed in June 23.\r\n\r\n6.   03xLEDs (total) installed onboard in Nov 23.\r\n\r\n7.   02 x OJ-194 displays tested with dummy sweep of SPS-49 Radar and 01 x OJ-197 tested with Fruno Radar Display.\r\n\r\n8.   Currently, all relevant Radars onboard are defective. STW and SATs will be conducted upon availability of Radars.\r\n\r\n9.   Alternative functionality of LEDs, i.e., plan for provision of display IMSS, NIXIS and TDL on screens was submitted for approval by NHQ, which was aproved in April 24\r\n\r\n10.   The displays have been installed onboard. The project will be closed upon receipt of acceptance certificate from SS.			200000	t	CDS
SSM LP	200017	2024-01-01	\N	Development of SSM for ZULFIQAR	CICP	2024-01-01	2024-01-01	2024-01-01	2400000	2024-01-01	2400000	2024-03-31	2400000	Funds Awaited	\N	\N	\N	\N	200000	t	SSMLP
Medium Wave Non-Directional Beacon	200018	2024-01-15	\N	Indigenous develoment of medium wave non directional beacon	DSMR WE	2023-12-22	2023-06-01	2023-10-23	30450000	2023-11-08	30450000	2025-03-17	30450000	Work in progress	\N	1.   WO accepted and T0 established on 15 Jan 24\r\n\r\n2.   Global plan submitted.\r\n\r\n3.   Comprehensive design submitted.\r\n\r\n4.   Development of prototype is in progress.	\N	\N	200000	t	NDB
Overhaul of ELINT System of RDS Nathiagali	200004	2020-09-15	134	To undertake the overhaul of ELINT DZ29000 system through local resources	DSMR (WE)	2019-04-15	2019-10-01	2019-06-15	75000000	2019-10-01	75000000	2023-01-01	60000000	Work in progress	\N	1.   Work on all subsystems of ELINT DZ9000S has been completed and lab trials have been conducted successfully.\r\n\r\n2.   The system installation and setting to work has been completed on site on 10 Feb 22.\r\n\r\n3.   Phase I of ATPs (testing of system sensitivity and parameter measurement accuracy) has been successfully completed. \r\n\r\n4.   On air trials using Test Transmitter has been completed for SUPERHET.  Trials with PNS HIMMAT conducted in July 22. Trials with P3C are planned during this month (Oct 22). \r\n\r\n5.   Work will continue on recovery of modules made good using spares from PN inventory as well as on addressing observations by SS/PAT.\r\n\r\n6.   Two work orders have been issued for this project. All milestones for both projects were complete pending acceptance by PAT. However, system was struck by lighning on 7 Nov 22. \r\n\r\n7.   Considerable damage happened due to the lightning. Recovery of the system has been completed. \r\n\r\n8.   Upgradation of lightning Protection System (LPS) by SS through MES was completed in June. \r\n\r\n9.   ATP Phase II (Final SATs) have been completed on 26-27 Jun 23 and analysis of performance is complete. \r\n\r\n10.   System evaluated by SMEs of ELINT system from 19 - 23 Feb 24. System recommended for acceptance by SMEs. Formal acceptance awaited by Acceptance committee.			200000	t	ELINT
Establishment of virtual reality center	250002	\N	140	Establishment of Virtual Reality Center (VRC) to provide technological support to Pakistan Navy (PN) in development of immersive technology-based simulations and related solutions.	Dir R&D	2020-07-14	2020-08-27	2020-07-14	407420000	2020-08-27	159900000	\N	\N	Funds awaited	\N	1.   The project was presented in 3rd R& D Board meeting held on 15 Nov 22. With the revised cost of Rs 232.97 M. As per the decisions DNT Inland was nominated as sponsoring directorate.\r\n\r\n2.   A presentation was held on 13 Apr 2023 at R&D Wing, chaired by COS. Proposed VRC setup and related aspects were well appreciated by COS.\r\n\r\n3.   HQ COMKAR was directed by COS to constitute a committee to study the need for VR based training simulators in consultation with NRDI for newly acquired platforms (054-A, MILGEM, OPVs)\r\n\r\n4.   Series of meetings held at PNS BAHADUR to discuss VR based training simulators. Subsequently, following 03 x systems shortlisted for development in 03 x phases:\r\n\r\n       a.   VR based Simulator for LY 80 (N) Missile Operations\r\n\r\n       b.   VR based Simulator for Missile System and Maintenance\r\n\r\n       c.   VR based Simulator for Fixed Drenching Systems onboard Type-54A/ F-22P Ships\r\n\r\n5.   Approved PPF/ URDs have been received for projects mentioned at para 4a-c\r\n\r\n6.   The proposal for project approved in Phase I, i.e., project at para 4a has been prepared and forwarded to NHQ\r\n\r\n7.   Work order acceptance in progress			250000	t	VRC
RAVEN-02	350014	2021-08-15	155	Ship based LOS VTS with Gyro Stabilized Platform	NCW (Tech)	2021-02-01	2021-03-01	2021-04-30	135000000	2021-07-31	135000000	2023-08-14	135000000	Completed	2023-08-15	Progress\r\n\r\n1.   The complete Raven II system has been successfully deployed onboard PNS MOAWIN for LWF held on 28 - 29 Oct 22. The project has been successfully completed. The project warranty is also completed.\r\n\r\n2.   Complete system was handed over by PNS MOAWIN to NRDI INTELL on 16 Feb 23 for training of PN personnel. 03 x days operator and maintenance training sessions on the developed Raven-II system have been imparted by NRDI INTELL team from 20-22 Jun 23 vide reference PN/ R AND D WING/GENERAL/4996456 dated 24 Jun 23. \r\n\r\n3.   NRDI INTELL successfully tested SSDLS antenna at Suparco SRDC-Lahore using GSP Testbench indigenously developed by NRDI INTELL. Feasibility Report of the tested system has been submitted vide letter (PN/R AND D WING/GENERAL/6016051 dated 06 Nov 23).\r\n\r\n4.   Formulation of PMS/MMS routines (Job Information Card (JICs)) requested vide reference letter (PN/COMAUXMIN 9/MAINTANANCE/5444776 dated 26 Sep 23). In response NRDI forwarded PMS/MMS routines (Job Information Card (JICs)) of complete RAVEN II system vide reference letter PN/ R AND D WING/GENERAL/6801319 dated 08 Jan 24. Moreover, installation and ground test of complete system were successfully done onboard PNS MOAWIN on 5 Jan 24 for LWF (SS-24) subsequently system was handed over to WEO MOWAIN. Harbor and sea trials were also held with PC flight on 21 Jan 24 and 23 Jan 24 respectively.		\N	350000	t	RAV-II
Video Analytics PoC at PNS Jauhar	250001	2016-08-15	123	To make video analytics solution for PN.	D Security	2016-06-15	2016-07-15	2016-07-15	42000000	2016-07-15	42000000	2019-07-31	\N	Completed	2019-07-31	Point and progress is recommended to be dropped.			250000	f	VA
SALMANNOOR	450019	2026-01-20	\N	SADADSADADS	SAL	2026-01-12	2026-01-08	2026-01-01	11111	2026-01-15	\N	2026-05-05	\N	Open	\N	\N	\N	\N	200000	t	SALMAN01
Fabrication of Solid Dish Directional Antenna as functional replacement for Scan Eagle Ground Control Station	350022	2023-03-01	\N	\N	DNAM	\N	2022-06-16	2022-06-30	3898892	2023-02-09	4517442	2023-06-30	\N	Warranty in progress	2024-09-01	Progress\r\n\r\n1.   Antenna Design. Dish antenna has been designed and developed at NRDI INTELL. Patch feeder is also developed.    \r\n\r\n2.   Final Testing & Field Trials of 1st Prototype. FATs and aerial trials were successfully conducted with 01 x NRDI developed dish antenna and were found satisfactory with a range of 54 NM vide reference PN/HQ COMPAK/PROJECTS/1038701 dated 01 Sep 23.\r\n\r\n3.   Delivery of 03 DA. 03 x Dish Antennas with all associated accessories handed over to rep of 47 Sqn vide reference PN/HQ COMPAK/PROJECTS/1326593 dated 18 Sep 23. Successful HATs and aerial trials of 03 x Dish Antenna have also been conducted.\r\n\r\n4.   Delivery of Support Structure. 03 x Support structure for BSE Dish were handed over to 47 Sqn vide reference PN/R AND D WING/GENERAL/1419950 dated 11 Oct 23.	1.   Antenna Design. Dish antenna has been designed and developed at NRDI INTELL. Patch feeder is also developed. Complete assembly of first prototype is completed.    \r\n\r\n2.   Delivery of 03 DA. Three Dish Antennas are ready to deliver. The same has been informed to MTSS for onward communication to NHQ.\r\n\r\n3.   Final Testing & Field Trials of 1st prototype. FATs were successfully conducted with NRDI developed dish antenna and were found satisfactory with a range of 54 NM letter at reference PN/COMNAV/PROJECTS/1021190 dated 30 Aug 23 is relevant.	\N	350000	t	BSE-D
Fabrication of L1,L2 and S Filters for defect rectification of 03xAIM units of Scan Eagle UAS	350023	2023-03-01	\N	\N	DNAM	\N	2022-09-09	2022-09-22	4034160	2023-02-09	4034160	2023-08-31	\N	Work in progress	\N	Progress\r\n\r\n1.   Filter Design. Cavity based filters for L1 (1.3-1.5 GHz), L2 (1.7-1.8 GHz), and S-band (2.2-2.5 GHz) have been designed and fabricated. Design is further consolidated through reverse engineering of the original OEM filter using XRF analyzer for material characterization and 3D Scanner for dimensional analysis.\r\n\r\n2.   Conduct of FATs. FATs of NRDI INTELL fabricated 09 x filters were successfully conducted on 20 Dec 23 in the presence of 47 Sqn reps at NRDI INTELL. VNA testing along with material characterization was also performed during FATs. All filters were checked and performance was found within acceptable ranges. Afterwards, filters were handed over to 47 sqn reps for conduct of field trials, vide letter PN/R AND D WING/GENERAL/6669049 Dated 21 Dec 23. Preliminary trials were conducted which exhibited range of 62NM. Further trials will be conducted to ascertain filter performance. However, it is pending due to maintenance & operational work at PNS MAKRAN as informed vide reference PN/COMNAV/MAINTENANCE/6963160 Dated 11 Jan 24.\r\n\r\n3.   Field Testing. During Field testing 47Sqn faced some connectivity issues thus filters are returned to NRDI INTELL on 01 Apr 24. Defect rectification is in process.	\N	\N	350000	t	BSE-F
Design and Fabrication of SATCOM Sailor 6110 Antenna Radome	350024	2023-04-01	\N	\N	DSMM	\N	2022-10-24	2022-11-04	1444193	2023-03-14	1450000	2025-07-15	\N	Warranty in progress	2025-07-30	Progress\r\n\r\n1.   Submission of Project Plan and List of Deliverables. The "Project Plan and List of Deliverables" has been submitted against Milestone M2. The same has been forwarded to MTSS for invoice and onward submission.\r\n\r\n2.   Submission of Design Report & Drawings. Design of Radome assembly has been completed. Structural analysis for verification of design is also completed. A report encompassing the design details is submitted, against Milestone M4. The same has been forwarded to MTSS for invoice and onward submission. \r\n\r\n3.   Manufacturing of Radome and Base. Manufacturing of these parts in line with already developed detailed drawings has been completed. The developed parts have been sent to PND for acceptance testing, against Milestone M6. Through pressure testing, the structural integrity of Radome has been qualified. The initial design of Radome also successfully resisted water ingress up-to 44 bar pressure. However, water ingress is observed at 45 bar pressure. Design upgradations have been made in the material of Radome base, its thread size, location and size of seal groove. After design updates, the Radome has successfully passed ingress protection at 45 bar pressure.\r\n\r\n4.   Handover and Testing. The pressure (45 bar for 1 hour) and RF testing is successfully conducted. The developed Radome has been handed over to PND for acceptance.\r\n\r\n5.   Alternative flange design. A design modification of flange is being carried out to improve sealing performance and ease of installation. In this approach the flange will be tightened by means of bolts of known strength and tightening torques.	\N	\N	350000	t	RADOME
VA-SNIDs Pilot Integration at PNS Jauhar	250006	\N	142	\N	D Security	2001-01-01	2020-01-01	2020-01-01	\N	2020-01-01	\N	\N	\N	Funds Awaited	\N	1.   The case file for PN wide implementation of VA project and its related modalities was processed at NHQ and approved by the competent authority amounting Rs 78M. Case file PN/ Security OPS Dte/02/2954141 dated 31 March 2020 refers.\r\n\r\n2.   Subsequently following steps were taken:\r\n\r\n       a.   The initial survey of 13 x PN units (Priority I & II) w.r.t C&CC location, available network, SNIDs Phase – II working, hardware requirements etc was conducted in June and July 2021.  A comprehensive report of the survey was forwarded to Dir Security (Ops). PI letter PN/DG NRDI/R AND D Wing/03/10049564 dated 16 Aug 2021 refers.\r\n\r\n       b.   A case file w.r.t permission from NI for sharing VA-SNIDs data was processed at NHQ vide PN/DG NRDI/R AND D Wing/02/2955478 dated: 13 Aug 2021.\r\n\r\n       c.   An IHD was held between MD IAC along-with core developers of SNIDs Phase -II and Director ET Div with VA technical team on 31 Aug 21 at RDW NRDI to discuss modalities involved in VA SNIDs integration process.\r\n\r\n3.   The project was presented in 3rd R & Board meeting. As per decision of the Board Meeting, MD IAC has been nominated to take up the project as Sponsoring Dte. Accordingly, MD IAC has to evaluate proposed project, formulate URD and process Project Proposal Form, if required.			250000	t	SNID
Remaining Useful Life estimation of in-service systems onboard PN ships	350012	2021-06-01	150	RUL estimation of FRUNO RADAR and Machinery Control System of YARMOOK Class	DILS	2020-12-02	2021-01-01	2021-02-10	12300000	2021-05-01	12300000	2022-05-31	\N	Work in progress	\N	Progress \r\n\r\n1.   Training of Personnel: 14 x Personnel (from NCMA, FMG (WE), FMG (ME), RD & TA, W&S, S & S, SW and ITRF) were earmarked and trained for Operation/ Installation and Maintenance, from 04 Sep 23 to 15 Sep 23.\r\n\r\n2.   GUI Development. The Graphical User Interface (GUI) pertaining to the developed framework has been updated based on the received feedback during training and vide letter PN/NCMA/PROJECTS/1036919 dated 31 Aug 23. \r\n\r\n3.   Documentation. The documentation of the project has been updated based on the received feedback vide letter PN/NCMA/PROJECTS/1036919 dated 31 Aug 23. The documentation of the project has been forwarded to MTSS as well as NCMA vide PN/R AND D WING/GENERAL/1320116 dated 28 Sep 23. The document (4-NRDI-RULMANUAL-08100-001-000-0) saliently covers theoretical concepts, Operation of the RUL framework, data acquisition, uploading, diagnosis, prognosis and RUL estimation.  \r\n\r\n4.   Acceptance. ATPs were conducted on 07 Dec 23, subsequently feedback/observations were received from NCMA against conducted ATPs vide letter PN/NCMA/PROJECTS/6499087 dated 13 Dec 23. In response NRDI wrote a detailed response of received observation vide letter PN/ R AND D WING/PROJECTS/6595648 dated 19 Dec 23. A meeting was held on 11 Jan 24 between NCMA, FMG and NRDI for clarification of response sent by NRDI. Moreover, acceptance from NCMA has been received vide PN/NCMA/PROJECTS/7020919 dated 31 Jan 24 and is under process at NHQs. Hardware (2 x PCs, 6 x Data loggers, 01 x DVD) against Milestone-9 also ready for delivery. However, NCMA has requested to hold hardware provision till acceptance of the Milestone-6 by NHQs. NCMA letter PN/NCMA/PROJECTS/7627804 dated 29 Feb 2024 and NRDI letter PN/R AND D WING/GENERAL/7546684 dated 24 Feb 24 refers.			350000	t	RUL
pr2222	450021	2026-01-28	\N	sadfsadsadasd	prt	2026-01-12	2026-01-01	2025-12-31	111	2026-01-08	\N	2026-05-19	\N	Open	\N	\N	\N	\N	200000	t	pr2
VA-SNIDs PN wide implementation	250005	\N	143	\N	D Security	2001-01-01	2020-01-01	2020-01-01	\N	2020-01-01	\N	\N	\N	Funds Awaited	\N	1.   The case file for PN wide implementation of VA project and its related modalities was processed at NHQ and approved by the competent authority amounting Rs 78M. Case file PN/ Security OPS Dte/02/2954141 dated 31 March 2020 refers.\r\n\r\n2.   Subsequently following steps were taken:\r\n\r\n       a.   The initial survey of 13 x PN units (Priority I & II) w.r.t C&CC location, available network, SNIDs Phase – II working, hardware requirements etc was conducted in June and July 2021.  A comprehensive report of the survey was forwarded to Dir Security (Ops). PI letter PN/DG NRDI/R AND D Wing/03/10049564 dated 16 Aug 2021 refers.\r\n\r\n       b.   A case file w.r.t permission from NI for sharing VA-SNIDs data was processed at NHQ vide PN/DG NRDI/R AND D Wing/02/2955478 dated: 13 Aug 2021.\r\n\r\n       c.   An IHD was held between MD IAC along-with core developers of SNIDs Phase -II and Director ET Div with VA technical team on 31 Aug 21 at RDW NRDI to discuss modalities involved in VA SNIDs integration process.\r\n\r\n3.   The project was presented in 3rd R & Board meeting. As per decision of the Board Meeting, MD IAC has been nominated to take up the project as Sponsoring Dte. Accordingly, MD IAC has to evaluate proposed project, formulate URD and process Project Proposal Form, if required.			250000	t	SNIDPN
Indigenous development of computer interfacing for data and Bell Logger of PNS ALAMGIR	400002	2021-02-01	154	PNS ALAMGIR's Data and Bell Logger system has degraded due to aging and is facing obsolescence issues. The system is outdated in terms of technology as it required upgradation to computer interfacing for data records and analysis.	ACNS RND	2021-02-01	2021-02-01	2020-09-11	2400000	2021-02-01	2400000	\N	\N	Completed	2021-07-12	Fourth and last quarterly inspection of the installed project onboard Ship was completed on 07 July 2022. System has successfully completed warranty period of 01 year without any anomaly. Next phase of the project, incorporation of AI based predictive maintenance module in existing system to is in pipeline. URD and PPF for the said module has already been initiated by the End User s and will be completed in due course of time.	1.   Training of End User\r\nTraining of End user w.e.f. 19 Apr 21 for 02 x weeks has been completed.\r\n2.   Manufacturing of sealed enclosure for final product delivery. \r\n       a.   Sealed enclosure to house PCB has been made\r\n       b.   PCB stuffing is completed and fitted in sealed enclosures\r\n3.   Sea Acceptance Trials SATs\r\nSATs have been concluded successfully and End User acceptance certificate has been forwarded to MTSS to process payment against the Milestone.\r\n4.   Product Finalization\r\n      a.   Software Package is ready and backup devices have been made. \r\n      b.   Product is in final stages for handing over to End User		400000	t	DBL
Development of Fire Control RADAR (FCR) as replacement of LR-66 FWD RADAR onboard F-22 ship Phase-1 development of Travelling Wave Tube (TWT) Amplifier	350025	2023-06-01	\N	Development of Fire Control RADAR (FCR) as replacement of LR-66 FWD RADAR onboard F-22 ship Phase-1 development of Travelling Wave Tube (TWT) Amplifier	SMR (WE)	\N	2023-06-01	2022-09-19	42529250	2023-02-06	42529000	\N	\N	Work in progress	\N	Progress\r\n\r\n1.   CDR Submission. The "Critical Design Report" (CDR) has been submitted against Milestone M6. \r\n\r\n2.   Procurement. Sintering furnace is being procured which will be utilized for development of cathode.\r\n\r\n3.   Design Activities. Reverse engineering for dimensional analysis and material characterization using XRF analyzer held with NRDI is in progress. Moreover, heater design, Electron Gun and slow wave structure designing is in progress. Power supply of existing TWT of LR66 radar is received at NRDI INTELL which will be utilized in this project. \r\n\r\n       a.   Design of Waveguide to Coaxial Adapter for cold testing of existing TWT on VNA.\r\n\r\n       b.   Heater Design: Sample heater coil has been successfully designed and manufactured. The manufacturing process has been established. The final design of heater coil will be developed based on calculation of cathode temperature and work function. \r\n\r\n       c.   Pierce Electron Gun: Simulation of Pierce electron Gun is also been revised after finalization of SWS.\r\n\r\n       d.   Slow Wave Structure: Design has been completed. \r\n\r\n       e.   Collector Design:  Collector is being redesigned in accordance with beam spent curve analysis of slow wave structure. \r\n\r\n4.   Development of ARRC. Advance radar research center (ARRC) is being developed at manufacturing facility PNS KARSAZ. Design of ARRC has been completed whereas, development of Clean room is in progress. Procurement of Molecular Vacuum Pump & Bio Safety Cabinet is in progress.	\N	\N	350000	t	TWT
Development of Multi-Purpose Delivery Boy	350033	2024-05-13	\N	\N	DSOF&M	2024-05-06	\N	\N	2507545	2024-05-06	2507545	\N	\N	Funds Awaited	\N	\N	\N	\N	350000	t	MDB-1
Indigenous Development of Prototype ROV for UW Operations Onboard MCMVs	300008	2024-03-19	\N	Design and Indegenously Develop Prototype ROV for conduct of UW Operations onboard MCMVs	DNDP (Equip)	2024-01-05	2023-09-20	2024-03-19	65000000	2023-09-20	65000000	2025-02-28	65000000	Funds Awaited	\N	\N	\N	\N	300000	t	ROV-PH2
Fabrication of Header Fuel Tanks alongwith internal/associated parts	350032	2024-05-01	\N	\N	DNAM	2023-06-21	2023-06-21	2023-07-20	\N	2024-04-30	77620000	2025-05-01	\N	Work in progress	\N	\N	\N	\N	350000	t	HFT
DEVELOPMENT VR BASED DIGITAL 3D MODEL OF HARBAH MISSILE	250007	2024-03-25	\N	Development of VR based Digital 3D model of HARBAH Missile (Surface-to-Surface) to provide orientation, understanding and training to PN personnel	AID	2023-05-26	2023-09-20	2023-10-25	64880000	2023-09-20	\N	2025-03-25	\N	Under assignment	\N	\N	\N	\N	250000	t	VR-HARBAH
VR based Simulator for LY 80 (N) Missile	250008	2024-06-25	\N	Design and development of VR based LY 80 (N) missile system (ops) simulator. The simulator will provide training of firing procedure of LY 80 (N) missile to PN personnel.	DNT INLAND	2024-04-01	2023-09-20	2024-02-16	80	2023-09-20	\N	2026-06-25	\N	Work in progress	\N	\N	\N	\N	250000	t	VRLY80OPS
Development of 03x Antenna Radome of Satcom Sailor 6110 with Bolted Flange Based Plate	350034	2024-07-01	\N	\N	DSMM	2024-05-24	2024-05-24	2024-05-24	4709735	2024-05-24	\N	2024-11-15	\N	Work in progress	\N	\N	\N	\N	350000	t	RADOME-2
s	200019	2025-11-19	\N	s	sss	2025-11-28	2025-11-05	2025-11-14	123456789	2025-11-06	\N	2025-11-29	\N	Under assignment	\N	\N	\N	\N	200000	t	SSSS
ww	250009	\N	\N	\N	www	2025-12-01	\N	\N	\N	\N	\N	\N	\N	Under assignment	\N	\N	\N	\N	250000	t	WW
salmannoor	450003	\N	\N	ssss	\N	2026-01-05	\N	\N	1111	\N	\N	\N	\N	Open	\N	\N	\N	\N	200000	t	P-450003
salmannoor	450004	\N	\N	qwwwwwwwwwwww	qwewqeewqwq	2026-01-06	\N	\N	1111	\N	\N	\N	\N	Open	\N	\N	\N	\N	200000	t	P-450004
ahmeed	450005	\N	\N	asdasdasd	qwewqeewqwq	2026-01-07	\N	\N	1111	\N	\N	\N	\N	Open	\N	\N	\N	\N	200000	t	P-450005
salmannoor	450006	\N	\N	111	qwewqeewqwq	2026-01-08	\N	\N	111	\N	\N	\N	\N	Open	\N	\N	\N	\N	200000	t	sano
wertfewtew	450007	\N	\N	wertwertewt	wertrew	2026-01-08	\N	\N	5000	\N	\N	\N	\N	Open	\N	\N	\N	\N	200000	t	tr43etw3
sdf	450008	\N	\N	asdsdfsd	sdf	2026-01-09	\N	\N	3243	\N	\N	\N	\N	Open	\N	\N	\N	\N	200000	t	zxsdf
Overhaul of ELINT	450009	\N	\N	fggdjdj	qwewqeewqwq	2026-01-09	\N	\N	1111	\N	\N	\N	\N	Open	\N	\N	\N	\N	200000	t	ssssss
salmannoor	450010	\N	\N	\N	DSMR	2026-01-09	\N	\N	111	2022-05-04	\N	\N	\N	Draft	\N	\N	\N	\N	200000	t	ELINT 1
Overhaul of ELINT	450011	\N	\N	\N	DSMR	2026-01-09	\N	\N	11111	2026-01-08	\N	\N	\N	Draft	\N	\N	\N	\N	200000	t	ssssss21
Overhaul of ELINT	450013	2026-01-09	\N	\N	sda	2026-01-09	\N	\N	11	2026-01-08	\N	2026-04-24	\N	Open	\N	\N	\N	\N	200000	t	new1
sadasd	450014	2026-01-09	\N	\N	qwewqeewqwq	2026-01-09	\N	\N	111111	2026-01-08	\N	2026-02-27	\N	Open	\N	\N	\N	\N	200000	t	ssssss123
sadasd	450012	2026-01-12	\N	\N	DSMR	2026-01-09	\N	\N	21111	2026-01-14	\N	2026-01-31	\N	Open	\N	\N	\N	\N	200000	t	ssssssaaa
Overhaul of ELINT	450015	2026-01-19	\N	\N	sda	2026-01-12	\N	\N	11111	2026-01-12	\N	2026-01-23	\N	Open	\N	\N	\N	\N	200000	t	new212
pr	450020	2026-01-27	\N	dsfsfdsaf	prt	2026-01-12	2026-01-08	2026-01-01	2222	2026-01-15	\N	2026-04-28	\N	Open	\N	\N	\N	\N	200000	t	pr1
\.


